Attribute XML Name,Attribute Name,Definition,,
activeIngredientName,Active Ingredient-Active Ingredient Name (#3) (Optional),Ingredient name. Example: Benzoyl Peroxide (Please enter text with 4000 character max),,
activeIngredientPercentage,Active Ingredient-Active Ingredient Percentage (#3) (Optional),The percent of the active ingredient in the item. Example: 0.02 (Please enter the value),,
altText,Additional Asset-Alt Text (#3) (Optional),"Alternative text of an image, video, or other asset. Use descriptive
terms to describe the image. (Please enter text with 150 character max)",,
assemblyInstructions,Assembly Instructions (Optional),"URL location showing assembly instructions for items requiring
assembly. (Please enter text with 2000 character max)",,
assetType,Additional Asset-Asset Type (#3) (Optional),"Provides additional information on the assets. Example: Secondary
Image; Video; Instruction Manual; Assembly Instructions; Badge;
Manufacturer Logo (Please enter text with 4000 character max)",,
assetUrl,Additional Asset-Asset Url (#3) (Optional),"Location of the additional assets. Required if additional assets
beyond the main image are provided. URLs must begin with http:// or
https:// Example: http://www.walmart.com/video1.jpg (Please enter text with 2000 character max)",,
autographed,Autographed (Optional),Is this product autographed?,,
autographedBy,Autographed By (Optional),"The full name of the autographer Example: Wayne Gretzky; Bradley
Wiggins (Please enter text with 4000 character max)",,
batteryTechnologyType,Battery Type And Quantity Value-Battery Technology Type (#3) (Optional),"If battery type is lead acid, lead acid (nonspillable), lithium ion,
or lithium metal, the item requires a hazardous materials risk
assessment via WERCS. Example: Does Not Contain a Battery; Alkaline;
Carbon Zinc; Lead Acid; Lead Acid (Nonspillable); Lithium Primary
(Lithium Metal); Lithium Ion; Magnesium; Mercury; Nickel Cadmium;
Nickel Metal Hydride; Silver; Thermal; Other; Multiple Types (Please select a value from the drop-down in the cell)",,
brand,Brand (Optional),"If item does not have a brand, enter ""Unbranded"" Example: HP; Toshiba;
Unbranded (Please enter text with 4000 character max)",,
certificationAndClaimType,Certifications And Claim-Certification And Claim Type (#3) (Optional),Type of certification or claim. Example: Organic; BPA-Free; Fair Trade (Please enter text with 4000 character max),,
certifyingAgent,Certifications And Claim-Certifying Agent (#3) (Optional),"Certifying agency for claim. Not all claims have a certifying agent.
Example: Oregon Tilth; GOTS (Please enter text with 4000 character max)",,
characterValue,Character-Character Value (Optional),"A person or entity portrayed in print or visual media. A character
might be a fictional personality or an actual living person. Example:
Dora the Explorer; SpongeBob SquarePants (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
colorValue,Color-Color Value (Optional),"Color value as provided by the manufacturer. Example: Aqua; Burgundy;
Mauve; Fuchsia (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
connection,Connections-Connection (Optional),"The standardized connections provided on the item. Example: HDMI;
S-Video; RCA (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
countryOfOriginAssembly,Country Of Origin Assembly (Optional),"2-letter country code for where the item was assembled. Example: CN;
US (Please select a value from the drop-down in the cell)",,
